units,people,daily_hours,appliances,previous_units,bill
587.2,7,8.6,10,550.8,4299
485.2,4,6.9,11,477.7,3337
669.6,5,9.1,10,498.5,5103
788.7,7,8.9,16,662.8,6374
387.5,3,5.4,7,322.0,2580
484.6,5,9.9,7,500.9,3369
396.6,5,6.3,7,416.4,2563
800.0,7,9.3,15,673.8,6423
459.2,2,8.3,8,422.3,3129
527.7,3,11.5,6,469.0,3701
737.3,7,7.0,16,681.0,5837
296.1,3,6.7,4,279.1,1791
418.0,3,7.5,8,316.3,2889
680.9,5,6.8,8,496.5,5287
504.3,4,9.3,8,490.9,3467
411.0,3,3.9,9,395.0,2746
504.8,6,5.2,11,462.1,3422
486.9,5,5.2,11,437.1,3383
366.9,2,9.6,10,292.5,2365
563.2,4,11.3,9,469.2,4044
729.5,6,7.3,15,635.7,5738
673.5,6,7.1,10,492.7,4956
349.6,2,7.7,8,359.0,2102
598.2,4,10.1,14,518.5,4459
350.2,5,5.5,5,401.1,2191
219.9,1,8.0,4,174.3,1267
570.5,4,9.6,11,490.3,4069
86.1,2,8.6,6,152.3,440
532.2,6,7.9,14,570.2,3833
507.0,5,9.7,10,430.0,3599
489.1,4,2.0,10,402.3,3308
402.7,1,9.0,5,309.6,2737
334.4,1,6.1,8,275.8,2109
463.3,3,3.5,9,389.2,3057
418.3,3,8.6,9,346.1,2784
800.0,7,10.5,13,700.0,6331
331.3,2,7.2,6,342.8,2050
439.8,4,9.6,9,447.7,3069
519.5,4,11.0,11,573.3,3750
673.8,7,10.4,13,597.2,5301
679.2,6,11.1,14,592.6,5249
766.1,6,9.1,18,616.9,6207
714.3,7,7.7,17,627.9,5573
364.3,6,4.0,12,427.5,2428
512.6,3,7.0,12,471.5,3591
400.0,4,5.6,9,375.4,2668
765.9,7,12.3,9,663.4,6199
382.2,4,7.1,7,360.7,2465
112.9,1,7.8,2,108.7,617
491.9,3,8.7,8,402.7,3490
342.5,5,7.6,12,400.6,2181
508.9,3,11.2,13,489.3,3521
540.9,7,6.1,15,530.1,4024
608.6,5,7.9,11,609.0,4496
358.8,1,5.9,8,296.7,2289
635.3,7,4.6,9,511.5,4817
532.6,2,6.2,8,366.3,3710
397.2,4,7.4,12,411.0,2564
308.0,1,6.6,2,216.9,1853
489.4,4,6.0,13,454.6,3252
609.2,6,4.4,14,531.8,4490
354.5,2,7.3,6,363.7,2266
295.4,2,4.2,9,313.7,1735
474.4,1,9.2,11,358.0,3173
288.1,2,7.7,7,221.2,1850
483.3,5,4.3,12,393.5,3308
455.5,2,6.8,6,278.0,3168
336.7,4,5.8,8,386.4,2079
401.4,4,8.2,12,409.5,2617
677.7,7,10.4,12,700.0,5254
497.1,4,3.4,10,444.1,3376
755.6,7,7.8,13,643.7,5882
586.1,4,7.1,11,444.6,4404
450.1,5,9.0,12,518.9,3042
475.1,7,8.0,17,610.1,3180
389.9,3,5.8,7,328.5,2619
710.3,6,6.8,12,550.5,5473
145.8,1,5.7,3,116.2,749
283.7,4,9.9,9,484.0,1625
398.2,2,7.5,8,313.3,2742
461.3,4,11.7,12,429.4,3120
218.7,2,7.4,5,235.3,1288
586.1,6,5.9,15,534.2,4375
669.6,6,4.2,16,640.9,5135
586.9,6,3.5,14,532.2,4280
282.6,2,4.0,12,232.8,1570
459.4,4,8.1,8,448.3,3071
418.0,6,8.6,10,460.0,2821
434.6,5,4.0,7,440.9,2815
744.9,7,9.5,18,675.5,5925
329.8,2,6.4,9,308.7,2102
385.8,2,7.8,7,387.7,2584
516.0,4,11.0,11,440.0,3582
246.4,2,9.5,4,231.7,1631
383.3,2,6.9,13,338.3,2575
733.4,6,5.5,13,582.8,5722
366.3,4,2.8,10,266.2,2391
375.7,6,5.9,15,400.8,2624
705.1,7,7.0,16,608.8,5384
527.4,7,5.3,15,621.3,3718
500.7,6,7.2,11,597.8,3307
727.4,7,7.7,16,619.6,5722
593.7,4,7.0,15,463.5,4423
422.5,1,6.1,9,325.7,2804
520.7,6,7.9,17,512.8,3666
599.6,5,8.5,10,476.1,4299
634.3,5,5.1,9,435.3,4759
455.0,2,10.6,7,389.6,3217
676.1,7,7.3,15,598.1,5159
537.3,5,7.5,14,530.6,3881
112.2,2,9.1,3,152.2,509
328.5,1,8.0,9,261.0,2095
531.0,4,9.6,10,497.7,3762
444.2,4,8.1,9,380.3,2957
384.4,4,6.2,7,378.0,2432
436.4,5,8.3,7,482.9,2909
292.1,1,5.0,8,211.9,1764
624.9,5,7.7,12,517.7,4599
706.0,7,7.4,11,527.7,5440
482.7,5,7.0,8,436.4,3302
215.1,1,7.2,5,268.5,1182
287.7,1,3.4,10,234.1,1827
572.7,7,6.3,14,564.0,4119
230.7,1,7.7,2,220.0,1299
354.1,1,7.9,5,285.6,2177
262.7,4,5.2,9,269.6,1686
671.9,7,10.3,8,659.9,5192
524.7,3,5.6,8,313.2,3603
520.3,3,9.6,8,427.8,3752
326.5,1,8.4,7,346.8,2053
421.8,3,6.1,13,325.0,2844
517.2,3,11.4,11,433.3,3660
288.3,1,4.9,5,176.9,1641
281.6,3,9.5,6,335.3,1737
800.0,5,9.7,18,700.0,6411
369.6,2,6.0,7,235.3,2490
655.3,7,10.6,15,654.6,4948
395.2,2,6.9,7,310.3,2690
184.4,1,8.1,6,197.3,1074
432.0,4,8.1,10,423.5,2936
774.0,7,7.2,13,618.1,6195
290.4,1,9.3,4,241.8,1710
616.2,4,9.2,10,461.3,4673
194.0,2,3.7,6,198.6,899
132.3,1,10.4,4,196.4,717
707.8,7,3.8,15,581.9,5402
800.0,7,9.8,14,700.0,6338
613.7,6,10.0,17,654.6,4624
358.8,5,5.1,5,389.2,2278
544.4,3,6.6,11,423.8,3940
495.7,4,5.1,13,357.4,3434
624.1,6,7.0,8,586.1,4603
339.6,3,6.8,8,364.9,2158
455.7,3,9.2,8,486.6,3119
172.1,1,10.4,2,215.6,1073
627.0,3,10.6,7,509.3,4769
504.7,5,6.3,9,488.4,3491
733.9,7,7.0,19,700.0,5719
596.1,6,3.8,15,531.2,4336
505.0,3,5.7,12,368.4,3465
595.0,1,9.6,7,368.2,4371
523.3,5,11.1,9,539.7,3745
197.3,2,4.8,6,139.9,1173
720.5,7,6.2,16,557.1,5620
482.2,7,7.4,11,570.7,3325
755.0,6,8.1,15,613.1,5986
644.3,7,5.7,14,582.8,4831
532.6,3,8.4,8,449.8,3715
170.0,1,6.5,7,137.9,854
778.7,7,7.5,16,649.3,6155
640.3,7,8.7,14,539.6,4896
474.6,2,7.5,10,387.0,3208
216.4,2,6.5,4,250.5,1236
633.8,4,7.3,12,477.7,4804
630.7,5,7.3,13,465.0,4784
339.7,3,6.7,8,421.7,2056
680.9,7,6.9,15,677.0,5312
733.7,7,11.0,11,677.4,5858
206.7,1,8.7,8,291.1,1163
547.5,4,6.8,10,455.2,3860
540.6,5,9.0,10,468.7,3960
526.2,4,6.8,13,504.8,3718
678.0,6,10.1,11,674.2,5073
567.9,5,8.3,8,529.5,4023
502.6,7,7.3,11,537.6,3476
687.6,7,8.5,16,679.6,5250
300.7,5,4.0,8,322.7,1752
724.3,7,5.0,19,664.9,5666
290.1,3,4.9,3,283.5,1795
516.7,5,7.8,16,454.8,3646
528.8,4,11.3,11,451.7,3870
551.2,5,12.4,11,564.8,4126
763.3,7,8.9,13,614.7,6154
413.1,3,8.6,9,331.3,2781
403.8,3,3.5,8,316.1,2481
689.8,6,6.3,16,589.3,5359
424.4,4,5.8,10,393.1,2899
346.2,2,6.1,7,242.8,2167
339.1,2,7.1,6,348.0,2243
545.9,5,6.5,11,564.4,3963
517.4,6,3.1,14,468.0,3644
183.6,1,9.1,2,199.9,1141
592.2,5,5.1,8,440.5,4341
565.1,6,8.0,15,574.8,3958
489.6,4,12.1,10,509.5,3399
529.6,4,5.5,10,439.3,3810
321.7,4,2.0,10,231.0,1884
633.9,4,6.9,11,508.2,4746
617.6,4,9.9,9,470.6,4555
631.2,6,11.8,11,591.9,4919
687.3,6,4.8,13,507.4,5384
316.9,3,8.6,6,359.6,1894
331.6,2,6.5,8,207.4,2073
742.4,7,7.3,10,648.0,5766
685.9,4,13.3,13,578.0,5399
365.5,1,4.2,7,228.8,2343
602.6,7,8.1,15,692.4,4553
655.9,6,8.5,15,547.4,5042
283.3,1,9.9,10,369.0,1958
345.9,1,7.7,8,265.2,2123
386.3,1,8.2,2,262.8,2375
308.1,3,6.6,5,197.5,1828
795.3,6,8.1,11,542.2,6232
257.8,1,6.7,6,205.3,1425
509.9,4,8.9,11,495.4,3513
482.4,5,6.7,10,491.2,3246
355.2,1,8.3,6,228.0,2199
319.6,3,7.4,7,313.7,2007
634.0,7,10.0,13,644.5,4776
549.2,6,7.4,9,461.6,3921
236.1,3,3.6,6,318.1,1417
270.3,1,10.3,2,233.7,1573
388.5,6,5.5,11,341.2,2516
498.0,5,6.1,14,481.5,3480
158.1,1,6.2,3,135.3,738
472.5,3,10.5,15,414.7,3139
221.4,2,2.8,8,168.4,1288
650.3,4,14.0,10,558.0,5034
800.0,7,9.8,12,700.0,6559
547.4,3,8.0,10,416.1,3941
560.8,6,7.4,12,513.5,4122
297.3,1,8.1,6,288.4,1782
586.0,4,8.6,16,502.4,4369
325.4,1,8.9,5,227.3,2141
613.8,6,8.7,16,555.5,4470
224.3,1,7.7,4,135.2,1346
354.4,2,7.1,7,279.7,2400
603.3,4,7.2,14,485.7,4506
430.1,4,7.1,8,398.0,2991
724.6,6,10.0,18,643.0,5677
583.5,7,8.8,16,613.5,4324
229.2,2,2.0,6,231.5,1294
343.3,3,8.9,10,343.5,2045
364.6,1,7.9,8,326.4,2269
549.8,5,7.5,13,460.1,3888
85.0,1,6.6,2,147.2,503
132.9,1,10.0,4,191.8,828
528.1,3,9.6,8,375.9,3772
244.6,1,5.8,5,263.0,1486
399.3,2,8.4,9,377.5,2634
460.7,2,5.4,7,324.3,3183
473.2,4,4.5,7,373.1,3191
607.1,6,6.1,14,487.5,4514
790.9,7,9.4,16,658.0,6327
606.5,5,9.6,13,510.8,4588
370.1,1,8.6,8,369.5,2374
237.4,1,9.1,8,238.9,1509
321.1,3,8.6,10,459.6,1936
730.9,6,6.1,13,584.7,5628
501.0,2,8.5,3,378.7,3491
613.5,5,9.3,13,525.2,4598
625.9,4,9.2,11,516.0,4679
533.7,2,10.1,8,493.6,3872
568.7,6,9.1,10,519.1,4107
702.6,7,8.3,12,523.5,5436
342.1,4,9.9,13,410.0,2317
693.3,7,7.4,14,656.1,5471
